"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"11/10/2019","73","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","14","64","1","23","73","37"
"11/11/2019","93","PM2.5","Reseda","06-037-1201","AQS","8","61","3","50","93","45"
"11/12/2019","92","PM2.5","Compton","06-037-1302","AQS","13","49","4","36","92","57"
"11/13/2019","94","PM2.5","Compton","06-037-1302","AQS","14","50","7","45","94","55"
"11/14/2019","88","PM2.5","Glendora","06-037-0016","AQS","11","51","1","45","88","48"
"11/15/2019","76","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","11","44","1","33","76","42"
"11/16/2019","77","PM2.5","Long Beach (South)","06-037-4004","AQS","18","50","4","35","77","62"
"11/17/2019","68","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","25","50","4","31","68","58"
"11/18/2019","67","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","18","54","3","37","48","67"
"11/19/2019","74","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","17","42","4","41","61","74"
"11/20/2019","41","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","6","39","0","9","41","39"
"11/21/2019","47","PM2.5","Reseda","06-037-1201","AQS","9","35","0","13","47","42"
"11/22/2019","56","PM2.5","Reseda","06-037-1201","AQS","11","40","0","16","56","44"
"11/23/2019","76","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","11","41","4","20","76","44"
"11/24/2019","109","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","14","44","1","14","109","39"
"11/25/2019","103","PM10","Lancaster-Division Street","06-037-9033","AQS","17","43","1","103","92","43"
"11/26/2019","106","PM10","Lancaster-Division Street","06-037-9033","AQS","11","39","1","106","79","53"
"11/27/2019","65","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","9","39","0","17","65","52"
"11/28/2019","52","PM2.5","Reseda","06-037-1201","AQS","6","38","0","6","52","30"
"11/29/2019","66","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","9","37","0","11","66","34"
"11/30/2019","76","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","11","31","0","8","76","29"
"12/01/2019","60","PM2.5","Reseda","06-037-1201","AQS","13","31","1","11","60","37"
"12/02/2019","67","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","14","31","4","19","67","53"
"12/03/2019","88","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","26","29","3","21","88","57"
"12/04/2019","57","PM2.5","Reseda","06-037-1201","AQS","16","23","0","8","57","43"
"12/05/2019","56","PM2.5","Reseda","06-037-1201","AQS","18","30","0","19","56","42"
"12/06/2019","64","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","14","23","1","13","64","47"
"12/07/2019","52","PM2.5","Reseda","06-037-1201","AQS","10","26","1","8","52","33"
"12/08/2019","52","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","7","35","0","10","52","25"
"12/09/2019","125","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","10","39","4","12","125","42"
"12/10/2019","61","PM2.5","Reseda","06-037-1201","AQS","16","25","1","21","61","49"
"12/11/2019","70","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","22","28","4","41","70","50"
"12/12/2019","81","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","19","31","3","22","81","54"
"12/13/2019","96","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","17","31","1","35","96","52"
"12/14/2019","88","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","10","38","0","30","88","30"
"12/15/2019","40","Ozone","Reseda","06-037-1201","AQS","13","40","0","9","36","34"
"12/16/2019","48","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","10","39","3","8","35","48"
"12/17/2019","54","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","11","37","1","25","33","54"
"12/18/2019","62","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","18","32","3","8","60","62"
"12/19/2019","76","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","20","37","3","8","76","61"
"12/20/2019","62","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","22","34","0","25","62","52"
"12/21/2019","73","PM2.5","Compton","06-037-1302","AQS","28","31","1","25","73","43"
"12/22/2019","59","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","36","40","3","16","59","38"
"12/23/2019","36","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","8","35","0","7","32","36"
"12/24/2019","55","PM2.5","Reseda","06-037-1201","AQS","16","36","0","8","55","35"
"12/25/2019","61","PM2.5","Reseda","06-037-1201","AQS","13","38","1","7","61","25"
"12/26/2019","43","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","14","39","0","5","33","43"
"12/27/2019","69","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","18","34","1","9","69","38"
"12/28/2019","65","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","13","32","1","18","65","34"
"12/29/2019","82","PM2.5","Reseda","06-037-1201","AQS","16","32","3","23","82","33"
"12/30/2019","59","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","17","38","3","14","59","49"
"12/31/2019","78","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","22","38","1","16","78","49"
